nro;nombre_archivo;id_revista;revista;pais;macroarea;metodologia;titulo;anio;autores;doi;url_fulltext;disciplina;objetivo_general;frase_inferencia;frase_muestreo;tipo_estudio;enfoque_metodologico;diseno_estudio;tamano_muestra;es_cuantitativo_con_inferencia;muestreo_probabilistico;muestreo_no_probabilistico;declara_tipo_muestreo;declara_calculo_tamano_muestral;reporta_intervalos_confianza;extrapola_a_poblacion;advierte_limites_muestreo;aplica_muestreo_inferencial;clasificacion_inferencial;motivo_principal;nivel_confianza_clasificacion;incumple_inferencia;software_estadistico;comentario_metodologico;area;macroarea_final;origen;estado;ruta_pdf_ref;clasificacion_original;clasificacion_recheck;clasificacion_final;aplicable_final;_reconfirmado
82;art1 (134).pdf;10.0;Argumentos;Brasil;VACIO;Inferencia Estadística;Arqueologia foucaultiana e Figures du fou: stultorum infinitus est numerus;2025.0;"Daniela Lima Barros; Rafael Lima Barros";;https://www.periodicos.ufc.br/argumentos/article/view/95540;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;SIN_AREA;SIN_AREA;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (134).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
83;art1 (138).pdf;10.0;Argumentos;Brasil;VACIO;Inferencia Estadística;O insuportável do dispositivo de sexualidade em Foucault: a resistência reversa de mulheres assassinas;2025.0;"Giovana Carmo Temple; Regiane Lorenzetti Collares ";;https://www.periodicos.ufc.br/argumentos/article/view/95435;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (138).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
84;art1 (153).pdf;10.0;Argumentos;Brasil;VACIO;Inferencia Estadística;A metafísica da cinefilia: indústria, cinema e tempo;2025.0;Yves São Paulo;;https://periodicos.ufc.br/argumentos/article/view/95591;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (153).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
85;art1 (154).pdf;10.0;Argumentos;Brasil;VACIO;Inferencia Estadística;Paul Natorp e o Psychologismus-Streit;2024.0;Laura Pelegrin;10.36517/Argumentos.31.17;http://periodicos.ufc.br/argumentos/article/view/88776;;;;;;;;;;;No;;;;Sí;No;Sí;Debilidad importante;;;No;;;Psicologia;Psicologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (154).pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
86;art1 (172).pdf;10.0;Argumentos;Brasil;VACIO;Inferencia Estadística;Desmistificação e erotismo: a análise de Byung-Chul Han e Roland Barthes sobre a beleza e o Sagrado na literatura contemporânea;2024.0;André Magalhães Coelho;;http://www.periodicos.ufc.br/argumentos/article/view/94451;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (172).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
87;art1 (173).pdf;10.0;Argumentos;Brasil;VACIO;Inferencia Estadística;Conversando com Sellars sobre regras;2024.0;"Ralph Leal Heck; Carlos Eduardo Fisch de Brito";;http://www.periodicos.ufc.br/argumentos/article/view/94431;;;;;;;;;;;No declara;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (173).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
88;art1 (174).pdf;10.0;Argumentos;Brasil;VACIO;Inferencia Estadística;Os bastidores do olhar: o outro para além do instante da metamorfose;2024.0;Fernanda Alt;10.36517/Argumentos.31.4;http://periodicos.ufc.br/argumentos/article/view/92083;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (174).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
89;art1 (179).pdf;10.0;Argumentos;Brasil;VACIO;Inferencia Estadística;A presença pré-reflexiva do outro e o ser-para-outro como terceira ek-stase na ontologia fenomenológica de Sartre;2024.0;Fabio Caprio Leite de Castro;10.36517/Argumentos.31.2;http://periodicos.ufc.br/argumentos/article/view/92070;;;;;;;;;;;No;;;;Sí;No;Sí;Sin falla relevante;;;No;;;Psicologia;Psicologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (179).pdf;Sin falla relevante;Sin falla relevante;Sin falla relevante;True;True
90;art1 (23).pdf;10.0;Argumentos;Brasil;VACIO;Inferencia Estadística;Narrativas socioconstrutivistas e seus problemas;2023.0;Marcos Rodrigues da Silva;;http://www.periodicos.ufc.br/argumentos/article/view/81297;;;;;;;;;;;No;;;;Sí;No;Sí;Sin falla relevante;;;No;;;Educacion;Educacion;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (23).pdf;Sin falla relevante;Sin falla relevante;Sin falla relevante;True;True
5;art1 (25).pdf;7.0;Andes;Argentina;VACIO;Inferencia Estadística;SAN MARTÍN: DE SOLDADO DEL REY A HÉROE DE LA NACIÓN;2013.0;Mariano Kloster;;http://www.redalyc.org/articulo.oa?id=12730581016;;;;;;;;;;;No;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (25).pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
91;art1 (28).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;Attractiveness of light-emitting diodes (LEDs) of different wavelengths to the South American rice water weevil;2018.0;"Eduardo Rodrigues Hickel; Gustavo Carlos Knabben; Débora Dal Zotto; Maicon William Machado Carvalho; Bruno Bertoldi; Yales Rômulo Novaes";10.1590/1808-1657000382016;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572018000100202&lng=en&tlng=en;;;;;;;;;;;No;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (28).pdf;Sin falla relevante;Debilidad importante;Debilidad importante;True;True
92;art1 (32).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;In-vivo evaluation of pathogenicity and antimicrobial profile susceptibility from Escherichia coli samples isolated from commercial layer hens;2018.0;"Elisabete Aparecida Lopes Guastalli; Marcos Roberto Buim; Bruno Henrique Lopes Guastalli; Fernando Antonio de Ávila";10.1590/1808-1657000112016;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572018000100200&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (32).pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
93;art1 (34).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;In vitro antimicrobial activity and alternative control of anthracnose in papaya;2018.0;"Héber Ferreira dos Reis; Lilian Maria Arruda Bacchi; Silvana de Paula Quintão Scalon; Jasna Karoliny Pereira Flores";10.1590/1808-1657000192018;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572018000100227&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (34).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
94;art1 (38).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;Management of Achatina fulica (Bowdich, 1822) (Pulmonata: Achatinidae) in lettuce (Lactuca sativa L.);2018.0;"Lindinalva Santos; Carla Barbosa Negrisoli; Maciel Bispo Santos; Aldomario Negrisoli Junior";10.1590/1808-1657000262017;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572018000100236&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Psicologia;Psicologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (38).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
95;art1 (40).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;Entomopathogenic nematodes for the control of Gryllus sp. (Orthoptera: Gryllidae) under laboratory and field conditions;2018.0;"Vanessa Andaló; Kellin Patrícia Rossati; Fábio Janoni Carvalho; Jéssica Mieko; Lucas Silva de Faria; Gleice Aparecida de Assis; Leonardo Rodrigues Barbosa";10.1590/1808-1657000442017;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572018000100217&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Educacion;Educacion;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (40).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
6;art1 (42).pdf;7.0;Andes;Argentina;VACIO;Inferencia Estadística;PARA UNA LECTURA CRÍTICA DEL DESARROLLO HUMANO;2013.0;Melisa Campana;;http://www.redalyc.org/articulo.oa?id=12730581009;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Psicologia;Psicologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (42).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
11;art1 (43).pdf;19.0;Cartografías del Sur;Argentina;VACIO;Experimental;Experiencias feministas frente al ciclo de movilización Ni Una Menos (2015-2020);2020.0;"Camila Ailen Stefanetti; María Victoria Ríos; Samantha Vaccari";;https://cartografiasdelsur.undav.edu.ar/index.php/CdS/article/view/210;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Educacion;Educacion;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (43).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
96;art1 (44).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;Populational fluctuation of lace bug in cassava;2018.0;"Patrícia Paula Bellon; Harley Nonato de Oliveira; Elisângela de Souza Loureiro; Danilo Renato Santiago Santana; Auro Akio Otsubo; Thiago Alexandre Mota";10.1590/1808-1657000602015;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572017000100225&lng=en&tlng=en;;;;;;;;;;;No;;;;Sí;No;Sí;Sin falla relevante;;;No;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (44).pdf;Sin falla relevante;Sin falla relevante;Sin falla relevante;True;True
97;art1 (46).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;Effect of plant protection products on Rhynchophorus palmarum L. (Coleoptera: Curculionidae) larvae in laboratory;2018.0;"Samara dos Santos; Valdemir Albuquerque da Silva Júnior; Sonia Maria Forti Broglio; Aldomario Santo Negrisoli Junior; Elio Cesar Guzzo";10.1590/1808-1657000452017;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572018000100409&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (46).pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
98;art1 (52).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;Classification and infection mechanism of entomopathogenic fungi;2018.0;"Margy Alejandra Esparza Mora; Alzimiro Marcelo Conteiro Castilho; Marcelo Elias Fraga";10.1590/1808-1657000552015;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572017000100403&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Debilidad importante;;;No;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (52).pdf;Falla fuerte;Debilidad importante;Debilidad importante;True;True
12;art1 (53).pdf;19.0;Cartografías del Sur;Argentina;VACIO;Experimental;Participación y control ciudadano en la actualidad: ¿qué tipo de representación y de mandato para qué clase de democracia?;2020.0;Maria Laura Eberhardt;;https://cartografiasdelsur.undav.edu.ar/index.php/CdS/article/view/187;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (53).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
99;art1 (54).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;Action of rain on formulations of glyphosate mixed with saflufenacil for the control of Brachiaria decumbens;2018.0;"Andréia Cristina Rodrigues da Costa; Clebson Gomes Gonçalves; Antonio Carlos da Silva Junior; Leonildo Cardoso; Dagoberto Martins";10.1590/1808-1657000172015;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572017000100221&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Psicologia;Psicologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (54).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
100;art1 (55).pdf;12.0;Arquivos do Instituto Biológico;Brasil;VACIO;Experimental + Estadística;Weeds associated with cotton crop and hosting whitefly;2018.0;"Sandra Rodrigues; Alexandre Ferreira Silva";10.1590/1808-1657000242017;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572018000100408&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (55).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
101;art1 (72).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;Afinal, o que as artes (ainda) comunicam?;2026.0;Waldir Severiano de Medeiros Júnior Severiano Medeiros Júnior;10.69640/raf.v20i39.7613;https://periodicos.ufop.br/raf/article/view/7613;;;;;;;;;;;No;;;;Sí;Sí;Sí;Sin falla relevante;;;No;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (72).pdf;Sin falla relevante;Sin falla relevante;Sin falla relevante;True;True
102;art1 (74).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;Coreografias dos lugares;2025.0;"Ana Rita Nicoliello; Pedro Hussak";10.69640/raf.v19i38.7862;https://periodicos.ufop.br/raf/article/view/7862;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (74).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
103;art1 (76).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;Desmoronar o horizonte;2025.0;Myriam Bahia Lopes;10.69640/raf.v19i37.7041;https://periodicos.ufop.br/raf/article/view/7041;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (76).pdf;Falla fuerte;Debilidad importante;Debilidad importante;True;True
104;art1 (79).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;Le Déserteur;2024.0;"Boris Vian; Jair Tadeu Fonseca";10.69640/raf.v19i35.7421;https://periodicos.ufop.br/raf/article/view/7421;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Psicologia;Psicologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (79).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
105;art1 (82).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;10.01;2024.0;Timothy Mathews;10.69640/raf.v19i36.7744;https://periodicos.ufop.br/raf/article/view/7744;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (82).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
106;art1 (84).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;A Crítica a partir da fantasia:;2024.0;Silvio Carneiro;10.69640/raf.v19i35.7153;https://periodicos.ufop.br/raf/article/view/7153;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (84).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
107;art1 (86).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;Un écart liminal;2024.0;carolina alfradique leite;10.69640/raf.v19i36.6942;https://periodicos.ufop.br/raf/article/view/6942;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (86).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
108;art1 (87).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;Editorial;2024.0;Imaculada Kangussu;10.69640/raf.v19i35.7429;https://periodicos.ufop.br/raf/article/view/7429;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (87).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
109;art1 (90).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;DELEUZE E A ESTÉTICA COMO UM PROBLEMA PARA O PENSAMENTO ;2023.0;Leandro  Lelis Matos ;;https://periodicos.ufop.br/raf/article/view/6777;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (90).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
110;art1 (91).pdf;15.0;Artefilosofia;Brasil;VACIO;Inferencia Estadística;Vers une musique asubjective;2022.0;Alisson Ramos de Souza;;https://periodicos.ufop.br/raf/article/view/5169;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (91).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
111;art1 (94).pdf;16.0;Avaliação: Revista da Avaliação da Educação Superior;Brasil;VACIO;Inferencia Estadística;DESAFIOS E OPORTUNIDADES DA INTELIGÊNCIA ARTIFICIAL NO ENSINO SUPERIOR: PERCEPÇÕES DOS DOCENTES NO AMBIENTE UNIVERSITÁRIO;2025.0;"Marcelle Feitoza Bassi Costa; Gabriel Orsi Tinoco; Nicholas dos Santos Faria Corrêa; Pedro Cariello Botelho; Tharcisio Cotta Fontainha";10.1590/1982-57652025v30id286435;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772025000100302&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (94).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
112;art1 (95).pdf;16.0;Avaliação: Revista da Avaliação da Educação Superior;Brasil;VACIO;Inferencia Estadística;O ESTADO EM AÇÃO: ABORDAGENS MULTIDIRECIONAIS PARA O COMBATE À EVASÃO NA EDUCAÇÃO SUPERIOR;2025.0;"José da Silva Santos Junior; Giselle Cristina Martins Real";10.1590/1982-57652025v30id290798;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772025000100321&tlng=pt;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_Descargados_Final\art1 (95).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
113;descarga (1).pdf;16.0;Avaliação: Revista da Avaliação da Educação Superior;Brasil;VACIO;Inferencia Estadística;ALIMENTAÇÃO ADEQUADA E SAUDÁVEL NO CAMPUS BELÉM DA UNIVERSIDADE FEDERAL DO PARÁ: ESTUDO DE CASO DAS AÇÕES E PROGRAMAS INSTITUCIONAIS VOLTADOS PARA ALUNOS E SERVIDORES;2025.0;"Luly Rodrigues da Cunha Fischer; Tanha Charle Santa Rosa de Sousa";10.22483/2177-5796.2025v30id277033;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772025000100326&tlng=pt;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ingenieria y Tecnologia;Ingenieria y Tecnologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_2daMuestra\descarga (1).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
114;descarga (10).pdf;16.0;Avaliação: Revista da Avaliação da Educação Superior;Brasil;VACIO;Inferencia Estadística;INTEGRATION OF STUDENTS IN HIGHER EDUCATION: THE CASE OF THE UNIVERSITY OF ÉVORA (PORTUGAL);2025.0;Jorge Bonito;10.1590/1982-57652025v30id28447133;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772025000100332&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Psicologia;Psicologia;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_3raMuestra\descarga (10).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
115;descarga (11).pdf;16.0;Avaliação: Revista da Avaliação da Educação Superior;Brasil;VACIO;Inferencia Estadística;UNIVERSITY SOCIAL RESPONSIBILITY: A PROPOSAL FOR EVALUATION;2025.0;"Júlia Elisabete Barden; Valtuir Soares Filho";10.22483/2177-5796.2025v30id29083516;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772025000100315&tlng=pt;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_3raMuestra\descarga (11).pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
116;descarga (12).pdf;16.0;Avaliação: Revista da Avaliação da Educação Superior;Brasil;VACIO;Inferencia Estadística;PUBLIC GOVERNANCE IN A FEDERAL HIGHER EDUCATION INSTITUTION: AN ANALYSIS CONSIDERING THE STRATEGIC MECHANISM OF THE TCU GOVERNANCE MODEL;2025.0;"Regiane da Silva Oliveira; Platini Gomes Fonseca";10.22483/2177-5796.2025v30id29171119;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772025000100318&tlng=pt;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_3raMuestra\descarga (12).pdf;Falla fuerte;Debilidad importante;Debilidad importante;True;True
117;descarga (2).pdf;16.0;Avaliação: Revista da Avaliação da Educação Superior;Brasil;VACIO;Inferencia Estadística;THE RELATIONSHIP BETWEEN ANXIETY AND PERSONALITY TRAITS IN UNIVERSITY STUDENTS;2025.0;"Luan Vinicius Bernardelli; Camila Pereira; Paulo Rogério Alves Brene; Ronaldo Raemy Rangel";10.1590/198257652025v30id29023929;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772025000100328&tlng=en;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_3raMuestra\descarga (2).pdf;Falla fuerte;Debilidad importante;Debilidad importante;True;True
